TMLOOKUP;Fullname;First Name;Second Name;Nationality;National games;National Goals;Club;Date Joined;Contract Ends;Day of Birth;Month of Birth;Year of Birth;Age;Goalkeeper;Sweeper;Defender;Anchor;Midfield;Support;Attack;Right;Left;Centre;Ability;Potential;Reputation;Adaptability;Aggression;Big Occasion;Character;Consistency;Creativity;Determination;Dirtyness;Dribbling;Flair;Heading;Influence;Inj Prone;Marking;Off The Ball;Pace;Passing;Positioning;Set Pieces;Shooting;Stamina;Strenght;Tackling;Technique;Goalkeeper POS;Sweeper POS;Defender POS;Anchor POS;Midfield POS;Support POS;Attack POS;Right POS;Left POS;Centre POS
0;SÇrgio Duarte No Club;SÇrgio;Duarte;Brazil;0;0;;07-01-1900;;20;1;1965;;0;0;1;2;2;0;0;0;0;2;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2
0;Fabio NÇnÇ No Club;Fabio;NÇnÇ;Brazil;0;0;;;;6;6;1975;;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
0;Roman Kosecki No Club;Roman;Kosecki;Poland;0;0;;;;15;2;1966;;0;0;0;0;2;2;2;0;0;2;80;80;95;4;10;4;10;6;17;15;18;17;8;10;0;0;2;16;7;12;8;12;14;16;12;10;14;0;0;0;0;2;2;2;0;0;2
0;Emilio Viqueira No Club;Emilio;Viqueira;Spain;0;0;;07-01-1900;;20;9;1974;;0;0;0;2;2;1;0;1;1;2;111;156;110;11;8;12;7;13;7;6;5;10;9;17;4;8;7;10;14;16;11;7;6;14;17;13;11;0;0;0;2;2;0;0;0;0;2
AaB1;S?ren Andersen AaB;S?ren;Andersen;Denmark;5;0;AaB;;;31;1;1970;;0;0;0;0;0;0;2;0;0;2;140;158;130;15;12;13;10;16;10;12;10;10;14;11;7;6;8;13;16;7;16;12;17;16;18;17;12;0;0;0;0;0;0;2;0;0;2
AaB10;Thomas Jensen AaB;Thomas;Jensen;Denmark;0;0;AaB;;;4;8;1974;;0;0;1;0;2;0;0;1;0;2;102;128;0;10;9;9;12;14;9;11;10;0;0;11;9;0;0;10;7;9;11;12;0;10;12;12;11;0;0;0;0;2;0;0;0;0;2
AaB11;Jens Jessen AaB;Jens;Jessen;Denmark;0;0;AaB;;;20;10;1967;;0;0;2;0;2;0;0;2;0;2;124;129;0;13;10;12;13;18;12;13;12;10;10;12;13;0;14;12;18;10;13;12;8;15;12;14;13;0;0;2;0;2;0;0;2;0;2
AaB12;Jacob KrÅger AaB;Jacob;KrÅger;Denmark;0;0;AaB;;;23;5;1975;;0;0;2;0;0;0;0;2;2;0;112;162;0;11;11;12;12;12;10;9;12;9;9;13;12;0;15;12;0;11;13;10;10;12;11;18;12;0;0;2;0;0;0;0;2;2;0
AaB13;Morten Lauritsen AaB;Morten;Lauritsen;Denmark;0;0;AaB;;;10;12;1977;;0;0;2;0;0;0;0;2;2;2;94;-1;0;17;12;13;10;5;16;6;13;19;10;11;12;15;19;14;8;17;12;16;5;4;12;15;14;0;0;2;0;0;0;0;2;2;2
AaB14;Frank Madsen AaB;Frank;Madsen;Denmark;0;0;AaB;;;1;1;#VALUE!;25;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AaB15;Jimmi Nielsen AaB;Jimmi;Nielsen;Denmark;0;0;AaB;;;6;8;1977;;2;0;0;0;0;0;0;0;0;2;115;137;0;0;8;0;7;0;9;0;9;0;0;14;7;0;0;10;0;8;16;14;0;13;13;15;9;2;0;0;0;0;0;0;0;0;2
AaB16;Jan Pedersen AaB;Jan;Pedersen;Denmark;0;0;AaB;;;12;11;1966;;0;0;0;0;2;2;0;2;2;0;114;125;0;8;9;8;8;4;11;9;9;12;12;10;7;0;9;9;0;11;9;9;9;15;9;13;9;0;0;0;0;2;2;0;2;2;0
AaB17;Jari Pedersen AaB;Jari;Pedersen;Denmark;0;0;AaB;;;2;9;1976;;0;0;0;0;0;0;2;2;2;2;114;-1;0;18;12;13;14;13;13;10;8;13;14;16;11;0;10;13;0;16;17;12;16;12;17;10;13;0;0;0;0;0;0;2;2;2;2
AaB18;Henrik Rasmussen AaB;Henrik;Rasmussen;Denmark;0;0;AaB;;;13;6;1968;;0;0;0;0;2;2;0;2;0;2;105;131;0;11;11;12;12;12;15;12;10;12;12;10;10;0;10;12;0;11;9;18;11;10;9;9;11;0;0;0;0;2;2;0;2;0;2
AaB19;Ib Simonsen AaB;Ib;Simonsen;Denmark;0;0;AaB;;;3;4;1964;;0;2;2;0;0;0;0;2;0;2;110;149;0;10;10;10;11;14;11;15;13;10;10;13;18;0;12;10;7;10;12;10;8;9;9;14;11;0;2;2;0;0;0;0;2;0;2
AaB2;Jesper Borup AaB;Jesper;Borup;Denmark;0;0;AaB;;;25;10;1977;;0;0;0;0;2;0;0;2;2;2;91;125;0;11;12;13;18;14;15;14;12;15;15;17;19;10;12;13;0;17;18;10;14;8;16;7;6;0;0;0;0;2;0;0;2;2;2
AaB20;Thomas Thomasberg AaB;Thomas;Thomasberg;Denmark;0;0;AaB;;;15;10;1974;;0;0;0;0;2;2;0;2;0;2;116;152;0;14;12;8;8;12;14;9;9;9;9;12;7;4;8;13;0;9;12;8;14;15;11;8;9;0;0;0;0;2;2;0;2;0;2
AaB21;Lars Thomsen AaB;Lars;Thomsen;Denmark;0;0;AaB;;;27;4;1972;;0;0;0;2;2;0;0;0;2;2;114;131;0;9;11;0;10;12;9;11;13;9;7;12;8;0;10;11;9;10;10;9;9;13;11;14;10;0;0;0;2;2;0;0;0;2;2
AaB22;Peter Tranberg AaB;Peter;Tranberg;Denmark;0;0;AaB;;;28;7;1978;;0;0;0;0;2;0;0;0;0;2;90;128;0;9;10;13;14;17;13;12;14;19;7;13;15;0;12;6;0;15;12;15;10;11;6;12;13;0;0;0;0;2;0;0;0;0;2
AaB23;Lars Winde AaB;Lars;Winde;Denmark;0;0;AaB;;;3;12;1975;;2;0;0;0;0;0;0;0;0;2;91;127;0;10;10;10;11;16;10;11;12;0;0;13;10;0;0;11;10;9;12;11;0;11;10;13;13;2;0;0;0;0;0;0;0;0;2
AaB3;Torben Boye AaB;Torben;Boye;Denmark;0;0;AaB;;;2;5;1966;;0;0;2;2;0;0;0;2;2;2;120;126;0;0;11;0;10;12;10;13;13;10;10;17;15;0;13;12;0;10;12;10;10;12;14;15;12;0;0;2;2;0;0;0;2;2;2
AaB4;Thomas Bëlum AaB;Thomas;Bëlum;Denmark;0;0;AaB;;;5;6;1978;;0;0;0;0;2;0;0;0;2;0;102;-1;0;6;12;13;18;9;12;12;18;13;10;6;14;9;15;18;12;15;14;9;12;16;9;18;4;0;0;0;0;2;0;0;0;2;0
AaB5;Calle Facius AaB;Calle;Facius;Denmark;0;0;AaB;;;1;1;1971;;0;0;0;2;2;0;0;2;0;2;108;118;0;13;13;9;9;14;10;13;14;10;10;12;10;0;13;12;0;10;11;10;9;12;11;12;10;0;0;0;2;2;0;0;2;0;2
